,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
24_17231845741771.png,B,A,B,E,C,E,B,C,A,C,A,B,E,C,B,A,A,E,A,C,B,A,C,B,E,A,D,E,B,A,B,A,E,B,C,D,B,B,D,C,B,*,D,B,B,D,A,B,D,B,D,C,B,A,D,B
24_17231845581771.png,*,A,B,E,C,D,C,D,E,C,C,B,B,B,C,E,B,C,A,C,B,A,D,B,B,D,D,B,B,A,B,A,B,B,C,A,C,D,E,C,B,A,D,A,B,C,A,C,B,B,D,C,D,#,A,A
24_17231845721771.png,B,B,D,E,A,E,B,E,A,C,E,B,A,B,C,E,A,A,A,C,B,C,C,B,E,C,D,B,B,A,A,C,E,B,C,C,D,C,B,D,B,A,D,B,C,D,C,B,D,A,D,D,A,B,C,A
24_17231845671771.png,B,A,B,E,C,D,B,C,D,*,E,B,E,B,C,E,B,A,A,C,B,C,D,B,E,C,D,B,C,A,B,A,B,B,C,C,D,D,B,A,D,A,D,B,B,C,D,D,E,B,B,C,D,B,D,C
24_17231909731101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845571771.png,B,A,B,E,C,E,A,D,A,C,E,B,B,C,C,E,C,E,B,D,B,A,C,D,D,A,D,B,B,C,A,D,D,B,C,A,A,C,C,C,C,A,D,B,C,D,B,D,D,A,D,C,D,A,C,B
24_17231845811771.png,B,A,A,E,A,C,B,D,A,C,C,B,A,A,E,C,B,A,A,C,B,B,C,B,C,D,D,B,A,A,B,C,D,B,C,B,C,A,C,C,B,A,B,B,B,C,B,C,D,A,D,C,C,B,C,B
24_17231909741101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845781771.png,B,E,A,E,A,D,B,D,C,C,E,B,D,B,C,E,B,E,B,D,B,B,C,B,A,C,C,B,D,C,B,D,B,E,C,A,C,B,A,A,C,C,C,B,B,D,B,D,C,A,C,D,D,B,C,C
24_17231845621771.png,E,B,B,E,A,E,B,B,A,C,E,B,B,D,E,C,D,E,B,C,A,B,D,C,D,D,D,B,B,A,A,C,C,B,C,C,A,D,B,C,A,A,C,E,B,C,B,A,A,D,E,E,A,A,C,D
24_17231845791771.png,B,B,B,E,A,D,B,B,A,D,E,B,B,B,E,A,B,A,B,C,B,A,D,B,B,A,D,B,B,A,C,C,A,B,C,C,B,C,D,A,E,A,D,B,C,A,D,C,E,B,D,A,C,B,D,A
24_17231845831771.png,B,E,C,E,A,D,C,D,A,D,D,B,B,B,D,A,D,A,A,C,B,A,D,B,A,D,D,B,B,B,A,D,A,B,C,C,D,C,D,C,B,C,B,A,D,A,A,A,C,B,D,B,D,D,C,A
24_17231909701101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845591771.png,A,B,B,B,C,E,B,D,A,C,C,B,B,D,C,A,A,E,B,C,B,B,B,B,D,B,C,B,B,A,B,D,D,B,C,C,B,C,B,C,B,A,D,B,C,D,D,B,C,B,D,C,B,B,C,A
24_17231845761771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845701771.png,B,A,E,C,D,D,B,B,A,C,E,B,B,A,D,E,D,C,A,D,E,A,E,B,E,C,D,B,B,A,C,A,D,B,C,C,B,B,D,A,B,A,D,D,C,D,B,D,E,B,D,C,B,D,C,B
24_17231845611771.png,B,B,B,C,E,D,B,A,A,D,C,B,B,A,D,A,E,E,A,E,B,A,B,B,A,C,D,A,A,A,B,C,B,B,C,D,B,D,B,C,B,B,B,C,B,C,C,A,E,B,A,D,D,A,A,B
24_17231909811101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845681771.png,E,B,D,E,C,D,C,D,A,C,E,B,B,B,C,E,A,A,B,C,B,C,C,B,B,C,D,B,C,A,A,C,D,B,C,D,B,C,#,A,E,A,D,B,C,D,B,D,A,B,D,D,A,B,B,B
24_17231845601771.png,B,B,B,B,C,*,C,D,A,C,C,B,B,B,C,E,D,A,B,C,B,C,E,B,B,C,D,B,B,A,A,B,D,A,C,C,D,D,B,C,C,A,D,B,B,C,B,A,C,B,B,A,C,A,C,C
24_17231845551771.png,B,B,C,E,C,E,B,B,D,C,C,B,B,B,C,A,B,A,A,C,B,A,C,B,D,D,D,B,B,B,B,C,E,B,C,D,C,A,B,C,C,C,C,B,B,D,C,C,E,B,D,D,C,B,B,C
24_17231909751101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231909761101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17232180781771.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845801771.png,E,A,B,E,C,D,B,A,D,C,C,B,B,A,C,C,B,A,B,C,B,B,D,B,E,B,D,B,B,C,A,B,A,B,C,D,C,A,C,A,A,A,D,A,C,C,A,C,B,A,D,A,A,B,A,C
24_17231845561771.png,E,A,B,B,C,E,B,C,C,C,C,B,B,B,C,C,B,D,A,C,B,A,A,B,A,D,D,B,B,A,B,B,B,B,C,C,D,B,E,A,A,A,D,B,C,A,B,B,D,A,D,C,B,A,C,B
24_17231909781101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845821771.png,B,E,A,B,C,E,B,D,A,C,E,B,A,D,C,C,A,E,B,D,B,C,C,B,B,D,D,B,C,A,A,B,B,B,C,A,D,B,C,C,E,A,D,B,D,C,A,C,E,D,D,C,B,A,D,B
24_17231845771771.png,B,B,D,E,C,D,B,A,A,C,B,E,B,B,C,D,B,E,C,C,B,A,C,D,E,C,D,B,B,A,C,A,E,C,C,C,D,C,A,B,E,A,D,B,B,B,B,B,C,B,D,D,A,B,C,D
24_17231909721101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17232186181101.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
24_17231845661771.png,B,B,A,E,C,D,C,D,A,D,E,B,B,A,D,B,B,E,A,C,B,C,C,B,C,C,A,B,A,C,A,C,D,B,C,A,A,D,B,C,A,A,D,B,B,C,B,D,B,B,D,C,D,C,C,B
24_17231845631771.png,B,A,D,E,C,D,B,C,A,C,E,B,B,D,C,E,B,E,B,C,B,B,D,B,B,C,D,B,B,A,A,D,B,B,D,D,A,D,B,A,B,A,D,B,D,D,D,D,B,B,D,C,A,D,B,B
24_17231845641771.png,B,E,B,E,D,D,B,D,A,C,E,B,B,A,C,E,B,D,B,D,B,A,D,C,D,A,D,B,B,A,B,C,*,B,C,C,D,C,C,C,D,A,D,B,C,D,D,D,D,A,D,C,B,C,D,B
24_17231845711771.png,B,B,E,E,C,D,B,D,A,C,C,B,A,A,C,B,B,E,A,A,B,B,D,B,E,B,D,B,B,A,A,C,B,B,C,C,D,B,B,B,D,A,D,*,C,D,C,C,D,B,A,B,C,C,C,C
