,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
37_17231846331301.png,E,D,D,E,D,B,E,E,C,B,E,C,C,B,C,E,B,A,B,C,B,B,A,A,C,D,C,*,*,E,A,E,A,B,E,E,D,B,A,D,B,C,D,D,C,A,D,D,C,C,B,A,C,C,A,C,C,B,B,A,B,B,C,A,C,A,A,A,D
37_17231846301301.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
37_17231845161201.png,A,D,B,D,C,E,B,A,A,D,E,D,B,B,D,A,D,A,C,E,A,D,E,B,E,E,C,E,B,B,D,B,C,B,A,A,B,C,D,A,C,B,B,D,B,D,A,A,C,A,B,A,C,E,C,D,B,B,A,D,A,E,A,C,C,B,B,D,A
37_17231822841201.png,A,D,B,D,C,A,B,A,A,C,C,D,A,C,D,A,B,C,C,A,B,D,E,A,D,E,C,E,D,A,D,C,D,C,B,D,A,C,E,A,B,A,C,A,D,D,B,A,E,B,D,A,C,D,A,E,B,B,B,E,B,A,D,A,A,C,B,A,C
37_17231822991201.png,A,B,B,D,C,E,B,A,A,D,C,C,B,A,D,A,E,E,C,B,C,D,D,B,E,E,B,E,B,D,A,E,E,C,C,D,C,C,C,A,C,B,A,A,B,D,C,D,B,C,D,C,C,D,B,D,B,B,D,D,A,B,E,C,C,A,C,A,C
37_17231845311201.png,E,A,B,D,D,C,B,A,A,D,E,A,B,B,B,C,A,A,B,A,A,E,D,E,A,C,C,D,D,D,D,A,C,D,C,D,E,C,D,A,A,A,A,A,D,D,A,A,C,B,C,A,B,D,C,D,B,C,A,A,C,E,D,C,B,C,B,D,B
37_17231845411201.png,*,B,B,D,C,C,B,A,A,A,D,C,A,*,E,A,D,A,C,D,A,A,E,B,E,E,B,E,A,D,D,B,D,B,E,D,C,C,D,A,C,A,A,A,B,D,A,A,B,B,D,B,B,E,C,D,B,B,C,A,A,A,E,D,B,B,B,D,B
37_17231845331201.png,A,B,B,D,C,C,B,A,A,B,D,D,A,E,D,A,A,A,C,D,A,B,E,B,A,E,B,E,A,C,A,C,B,B,E,C,C,A,D,A,C,B,D,B,B,D,B,A,B,A,B,C,B,A,E,D,B,B,C,A,D,E,B,C,B,B,D,D,A
37_17232180771201.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
37_17231845531201.png,E,D,C,D,C,C,B,A,A,C,D,A,C,B,B,A,D,E,C,D,A,B,E,B,A,B,B,E,A,E,D,E,C,E,B,D,C,C,D,A,C,B,A,B,B,D,A,A,B,D,B,B,A,E,B,D,C,B,A,A,B,A,B,C,C,D,B,B,B
37_17231846191301.png,D,D,D,E,B,B,E,B,C,D,D,E,C,D,C,B,A,E,A,C,B,C,A,D,C,B,D,E,A,A,D,B,E,B,A,D,A,B,A,D,C,C,D,A,D,A,A,C,C,B,B,B,C,E,B,C,C,B,B,D,A,B,A,A,C,A,B,B,B
37_17231846361301.png,E,*,*,C,C,C,D,E,C,E,D,B,B,D,D,*,A,E,*,B,B,B,C,A,A,D,C,D,*,C,D,B,B,C,B,E,C,A,D,B,C,D,C,A,C,B,D,C,C,B,*,C,B,C,A,B,C,D,A,B,A,B,A,A,B,A,A,A,C
37_17231846281301.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
37_17231846411301.png,E,D,*,E,E,B,A,E,C,B,E,C,A,C,C,B,A,E,C,B,B,B,E,A,C,D,*,D,D,B,A,*,D,C,E,B,C,D,A,D,D,C,B,A,C,A,D,C,C,C,C,B,C,E,E,C,C,B,B,A,B,B,C,A,C,A,A,B,D
37_17231845341201.png,E,D,B,D,C,A,D,A,A,D,C,D,B,B,E,C,D,A,B,D,A,B,E,B,E,E,B,E,D,E,A,C,C,C,B,A,C,C,A,A,D,A,B,C,B,D,B,A,B,B,D,A,A,A,A,D,B,B,C,A,B,C,A,C,B,B,A,B,C
37_17231822921201.png,*,*,*,*,*,*,*,A,A,A,E,*,A,*,*,*,*,A,*,D,*,B,*,B,E,E,*,*,*,D,D,E,*,B,*,D,C,B,D,A,C,B,A,D,B,D,A,A,B,C,C,B,B,D,B,D,B,B,A,B,D,C,B,C,C,B,A,D,A
37_17231823031201.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
37_17231822961201.png,A,D,B,D,C,A,B,A,A,B,B,D,B,B,D,A,B,B,A,C,D,E,D,A,A,A,C,E,C,E,C,A,E,*,C,E,D,A,C,A,C,B,A,C,A,E,C,B,A,B,D,C,C,E,A,D,D,D,C,C,A,C,A,A,B,B,C,C,C
