,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
40_1723187879441.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231899081311.png,A,E,A,E,A,D,E,A,E,B,C,B,#,A,B,C,C,C,D,B,C,B,C,B,E,D,A,E,D,C,C,B,D,B,E,C,A,C,A,B,A,B,B,A,A,D,B,A,E,C,A,A,C,A,C,A,B,C,C,B,B,B,C,B,A,C,B,A,C,D
40_17231807371311.png,D,D,E,A,A,C,A,A,D,E,D,E,#,D,B,C,A,C,C,A,C,B,C,B,C,B,A,E,D,C,A,D,D,A,C,D,E,C,A,D,C,B,A,D,C,C,C,D,E,B,A,E,D,A,C,B,C,E,E,A,C,C,A,D,A,C,B,A,B,B
40_1723187898441.png,D,E,B,D,C,B,D,A,A,D,B,D,E,A,A,D,C,D,A,B,C,E,A,A,E,D,A,C,E,E,D,E,E,A,D,E,B,C,A,A,A,B,B,D,A,C,A,A,B,D,A,A,E,E,D,E,B,A,A,B,A,D,E,C,B,A,A,A,B,B
40_1723191232441.png,D,A,B,C,B,B,D,A,D,D,D,D,*,A,B,D,C,C,C,C,B,E,D,A,B,A,A,C,D,E,D,E,E,C,D,E,C,C,B,A,B,B,B,C,A,B,A,A,D,A,B,A,E,E,A,D,A,A,C,A,C,C,B,A,B,A,A,D,A,A
40_17232126631341.png,D,C,E,D,B,A,B,A,B,A,A,E,C,C,D,B,C,A,B,C,D,E,A,D,E,E,D,A,E,A,A,E,E,D,B,D,D,A,C,D,C,B,A,D,B,A,A,D,E,D,C,A,B,D,B,A,B,C,A,D,A,D,D,A,A,C,A,D,A,A
40_17231848147631.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
40_17231899411311.png,D,C,E,A,A,B,C,A,D,B,B,B,#,D,D,C,C,D,B,D,A,D,B,B,B,E,A,E,E,D,D,D,D,D,C,D,E,C,C,C,D,D,A,C,C,C,D,A,E,D,D,E,C,D,C,D,E,E,D,A,B,D,A,D,A,D,A,B,B,A
40_1723187293561.png,D,E,A,B,B,C,C,D,A,#,B,B,*,C,C,C,B,C,D,B,A,C,B,B,C,B,A,C,C,A,D,A,C,A,D,D,C,C,A,A,B,B,A,A,C,C,C,B,C,E,A,A,A,C,C,A,B,A,B,A,B,C,D,B,B,C,B,A,B,B
40_17231911201311.png,*,C,E,A,A,B,C,A,C,E,A,D,B,E,B,C,C,C,C,C,C,D,B,B,C,A,A,E,D,C,A,C,B,D,C,D,B,C,A,D,C,B,A,D,C,C,C,B,E,D,D,E,E,D,C,B,C,E,B,A,D,C,A,B,A,C,B,A,D,A
