,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
20_17232205106491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,C,D,A,B,B,C,C,A,C,A,D,C,C,D,C,B,D,A,A,B,C,D,B,B,B,A,C,B,D,B,B,C
20_17232205906491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,B,A,B,B,C,D,A,D,B,D,C,B,C,C,B,E,A,A,B,A,B,C,B,C,C,A,B,B,C,D,D
20_17232205946491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,A,A,B,B,C,C,A,D,B,D,C,D,B,D,C,E,A,A,B,B,E,B,B,B,A,C,A,B,D,D,B
20_17232206086491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,D,A,B,B,C,A,C,E,A,D,C,D,A,B,C,D,A,A,B,A,D,B,B,B,D,C,C,D,A,D,A
20_1723217930501.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
20_1723181497501.png,E,B,D,B,B,D,C,D,C,C,D,A,D,C,C,B,A,D,A,D,D,A,A,B,B,D,B,B,B,C,A,C,A,A,D,A,D,B,C,C,B,C,D,C,B,A,D,D,B,D,C,C
20_1723182489501.png,C,C,C,C,E,D,C,D,B,D,D,A,C,D,A,E,A,D,C,C,D,A,A,B,C,E,B,C,A,B,A,A,A,A,A,C,C,D,C,B,B,C,D,C,D,A,*,B,C,D,C,D
20_1723217842501.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
20_17232205146491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,D,A,B,C,A,B,D,C,B,D,D,C,C,C,B,D,A,A,D,B,C,B,B,C,D,C,D,B,D,A,B
20_1723182493501.png,B,D,B,C,E,D,C,D,B,D,D,A,C,A,A,E,A,D,C,D,D,A,A,B,D,E,C,C,E,E,A,C,A,A,D,B,B,D,C,C,B,C,A,C,A,A,A,C,A,D,C,C
