,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
37_17231825651301.png,E,D,B,E,D,B,E,E,C,B,E,C,A,B,C,C,B,E,C,D,A,B,A,B,B,C,A,C,A,A,A,B,E,B,B,B,C,D,A,D,B,C,D,A,A,A,D,C,C,C,B,A,C,B,A,C,D,D,B,A,A,B,C,A,C,A,A,B,A
37_17232185701301.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
37_17231869291201.png,A,D,B,D,C,A,B,A,A,C,C,D,D,E,E,A,D,D,B,D,A,B,E,B,E,E,B,E,B,A,A,E,D,C,E,A,C,B,D,A,C,B,A,D,B,D,B,A,B,A,C,B,B,A,A,D,B,B,A,A,B,A,C,C,C,B,B,A,B
37_17231892251201.png,A,D,B,D,C,E,B,A,A,B,B,D,A,A,D,A,B,E,C,D,B,A,E,B,E,E,C,E,E,B,D,C,A,B,C,B,D,C,D,A,C,B,A,A,B,D,A,C,B,D,D,B,B,D,A,D,B,B,B,A,A,C,C,C,C,D,B,D,A
37_17231866201201.png,A,A,B,D,C,E,B,A,A,D,E,D,A,A,D,C,D,A,C,D,D,B,E,B,E,E,B,E,A,E,A,D,D,A,C,E,C,B,D,A,D,B,A,B,B,D,A,A,B,D,A,A,C,D,C,D,B,B,C,B,C,C,C,C,A,B,B,D,A
37_17231890991301.png,D,D,C,E,E,E,E,C,B,D,D,B,E,A,C,E,A,E,C,A,B,B,D,B,C,D,C,A,D,D,A,C,D,E,E,E,D,C,A,D,A,C,A,A,B,B,D,C,C,C,C,C,C,E,C,C,C,B,B,D,A,B,C,A,C,A,A,B,A
37_17231892761301.png,E,D,E,E,C,D,E,C,C,C,B,B,B,A,D,E,E,D,E,B,B,A,E,B,B,E,C,B,D,C,D,B,C,B,B,E,E,B,A,D,B,C,D,D,C,A,B,D,D,C,B,B,C,E,C,C,C,B,B,A,A,C,A,A,C,A,B,E,C
37_17231824491301.png,E,D,D,E,D,E,A,C,D,B,B,A,D,E,B,A,B,E,B,A,B,B,B,C,A,D,B,D,D,C,D,B,C,B,B,E,C,B,A,D,B,C,D,D,C,A,D,C,C,C,B,A,C,C,A,C,C,B,B,A,A,B,C,A,C,A,A,C,D
37_17231815301201.png,A,B,B,D,C,A,B,A,A,B,A,D,A,E,D,A,D,A,C,B,B,A,E,B,E,A,B,D,C,A,A,E,E,B,D,D,C,C,D,A,C,B,A,A,D,D,B,A,D,A,D,C,C,E,C,D,B,B,A,B,D,E,C,A,C,B,A,A,D
37_17231896621201.png,E,D,B,D,C,C,B,A,A,C,E,D,B,B,E,A,D,B,A,D,D,B,E,B,E,E,A,E,A,C,B,E,D,C,B,E,D,B,D,A,C,B,A,D,A,D,A,C,B,C,D,B,B,D,A,D,B,C,A,A,D,E,C,C,C,B,B,D,A
37_17231817081301.png,E,D,E,E,D,B,E,E,C,A,D,D,C,C,C,E,B,E,B,C,B,D,E,B,C,D,A,D,D,A,A,E,E,B,C,D,E,B,A,D,B,C,C,D,A,A,D,C,C,C,C,D,C,C,D,C,C,B,B,A,A,B,C,A,C,A,A,C,D
37_17231813411301.png,E,D,D,E,D,B,E,B,D,C,E,C,E,C,C,C,B,E,C,A,B,D,A,D,C,D,D,C,D,B,A,C,C,B,A,E,C,B,A,D,B,B,D,D,C,D,A,B,C,D,A,B,C,D,C,C,C,B,B,A,C,B,B,A,C,A,B,C,B
37_17231886161201.png,A,B,B,D,A,E,B,A,A,D,D,D,B,C,E,A,D,A,D,B,B,A,E,B,E,E,D,E,C,E,B,A,D,C,B,E,C,C,D,A,C,B,A,B,D,D,B,A,A,C,D,D,B,A,D,D,B,B,C,B,B,D,D,C,B,B,A,D,D
37_17231891031301.png,A,B,D,D,A,C,C,B,D,E,C,B,A,D,D,C,B,E,C,A,E,A,D,A,E,C,D,A,C,A,B,E,D,B,E,D,D,B,D,D,B,A,D,D,B,B,A,A,D,D,D,A,E,C,B,C,A,D,B,D,B,A,D,B,A,A,C,B,D
37_17231875491301.png,E,D,C,D,C,B,A,D,D,A,A,C,B,E,A,E,A,C,A,D,B,B,A,E,B,D,C,B,E,E,D,E,D,B,B,E,C,E,A,D,B,B,D,B,A,B,D,#,D,C,#,D,B,A,A,C,C,C,A,D,B,A,C,A,A,A,A,B,C
37_17231890171201.png,A,B,B,D,C,E,B,A,A,D,A,D,A,C,D,C,D,B,C,D,B,B,E,B,E,E,B,E,A,A,A,D,C,C,A,B,C,B,D,A,C,B,A,D,B,D,A,A,B,D,D,B,B,D,B,D,B,B,A,B,C,C,B,C,C,B,B,A,B
37_17231820951201.png,A,*,B,D,C,C,B,A,A,C,C,D,A,B,D,A,D,A,B,D,B,B,E,B,A,E,B,E,E,E,D,E,D,D,E,A,D,D,C,*,C,B,A,B,D,D,A,A,B,B,D,B,B,E,A,D,A,B,C,A,C,C,C,C,C,B,B,A,D
37_17231823831201.png,A,D,B,D,C,E,B,A,A,C,C,D,B,C,D,A,D,A,C,D,D,A,E,B,D,A,B,E,B,A,A,D,C,B,E,B,B,A,B,A,D,C,C,C,C,D,B,A,B,A,B,C,B,E,C,D,D,B,C,B,A,B,D,C,C,A,B,C,A
